dguid,alt_geo_code,geo_level,geo_name,parent_dguid
2021A00031311,1311,census division,"Carleton, County (CT)",2021A000213
2021A00031312,1312,census division,"Victoria, County (CT)",2021A000213
2021A00031313,1313,census division,"Madawaska, County (CT)",2021A000213
2021A00031314,1314,census division,"Restigouche, County (CT)",2021A000213
2021A00031315,1315,census division,"Gloucester, County (CT)",2021A000213
2021A00032401,2401,census division,"Communauté maritime des Îles-de-la-Madeleine, Territoire équivalent (TÉ)",2021A000224
2021A00032402,2402,census division,"Le Rocher-Percé, Municipalité régionale de comté (MRC)",2021A000224
2021A00032403,2403,census division,"La Côte-de-Gaspé, Municipalité régionale de comté (MRC)",2021A000224
2021A00032404,2404,census division,"La Haute-Gaspésie, Municipalité régionale de comté (MRC)",2021A000224
2021A00032405,2405,census division,"Bonaventure, Municipalité régionale de comté (MRC)",2021A000224
2021A00032406,2406,census division,"Avignon, Municipalité régionale de comté (MRC)",2021A000224
2021A00032407,2407,census division,"La Matapédia, Municipalité régionale de comté (MRC)",2021A000224
2021A00032408,2408,census division,"La Matanie, Municipalité régionale de comté (MRC)",2021A000224
2021A00032409,2409,census division,"La Mitis, Municipalité régionale de comté (MRC)",2021A000224
2021A00032410,2410,census division,"Rimouski-Neigette, Municipalité régionale de comté (MRC)",2021A000224
2021A00032411,2411,census division,"Les Basques, Municipalité régionale de comté (MRC)",2021A000224
2021A00032412,2412,census division,"Rivière-du-Loup, Municipalité régionale de comté (MRC)",2021A000224
2021A00032413,2413,census division,"Témiscouata, Municipalité régionale de comté (MRC)",2021A000224
2021A00032414,2414,census division,"Kamouraska, Municipalité régionale de comté (MRC)",2021A000224
2021A00032415,2415,census division,"Charlevoix-Est, Municipalité régionale de comté (MRC)",2021A000224
2021A00032416,2416,census division,"Charlevoix, Municipalité régionale de comté (MRC)",2021A000224
2021A00032417,2417,census division,"L'Islet, Municipalité régionale de comté (MRC)",2021A000224
2021A00032418,2418,census division,"Montmagny, Municipalité régionale de comté (MRC)",2021A000224
2021A00032419,2419,census division,"Bellechasse, Municipalité régionale de comté (MRC)",2021A000224
2021A00032420,2420,census division,"L'Île-d'Orléans, Municipalité régionale de comté (MRC)",2021A000224
2021A00032421,2421,census division,"La Côte-de-Beaupré, Municipalité régionale de comté (MRC)",2021A000224
2021A00032422,2422,census division,"La Jacques-Cartier, Municipalité régionale de comté (MRC)",2021A000224
2021A00032423,2423,census division,"Québec, Territoire équivalent (TÉ)",2021A000224
2021A00032425,2425,census division,"Lévis, Territoire équivalent (TÉ)",2021A000224
2021A00032426,2426,census division,"La Nouvelle-Beauce, Municipalité régionale de comté (MRC)",2021A000224
2021A00032427,2427,census division,"Robert-Cliche, Municipalité régionale de comté (MRC)",2021A000224
2021A00032428,2428,census division,"Les Etchemins, Municipalité régionale de comté (MRC)",2021A000224
2021A00032429,2429,census division,"Beauce-Sartigan, Municipalité régionale de comté (MRC)",2021A000224
2021A00032430,2430,census division,"Le Granit, Municipalité régionale de comté (MRC)",2021A000224
2021A00032431,2431,census division,"Les Appalaches, Municipalité régionale de comté (MRC)",2021A000224
2021A00032432,2432,census division,"L'Érable, Municipalité régionale de comté (MRC)",2021A000224
2021A00032433,2433,census division,"Lotbinière, Municipalité régionale de comté (MRC)",2021A000224
2021A00032434,2434,census division,"Portneuf, Municipalité régionale de comté (MRC)",2021A000224
2021A00032435,2435,census division,"Mékinac, Municipalité régionale de comté (MRC)",2021A000224
2021A00032436,2436,census division,"Shawinigan, Territoire équivalent (TÉ)",2021A000224
2021A00032437,2437,census division,"Francheville, Census division (CDR)",2021A000224
2021A00032438,2438,census division,"Bécancour, Municipalité régionale de comté (MRC)",2021A000224
2021A00032439,2439,census division,"Arthabaska, Municipalité régionale de comté (MRC)",2021A000224
2021A00032440,2440,census division,"Les Sources, Municipalité régionale de comté (MRC)",2021A000224
2021A00032441,2441,census division,"Le Haut-Saint-François, Municipalité régionale de comté (MRC)",2021A000224
2021A00032442,2442,census division,"Le Val-Saint-François, Municipalité régionale de comté (MRC)",2021A000224
2021A00032443,2443,census division,"Sherbrooke, Territoire équivalent (TÉ)",2021A000224
2021A00032444,2444,census division,"Coaticook, Municipalité régionale de comté (MRC)",2021A000224
2021A00032445,2445,census division,"Memphrémagog, Municipalité régionale de comté (MRC)",2021A000224
2021A00032446,2446,census division,"Brome-Missisquoi, Municipalité régionale de comté (MRC)",2021A000224
2021A00032447,2447,census division,"La Haute-Yamaska, Municipalité régionale de comté (MRC)",2021A000224
2021A00032448,2448,census division,"Acton, Municipalité régionale de comté (MRC)",2021A000224
2021A00032449,2449,census division,"Drummond, Municipalité régionale de comté (MRC)",2021A000224
2021A00032450,2450,census division,"Nicolet-Yamaska, Municipalité régionale de comté (MRC)",2021A000224
2021A00032451,2451,census division,"Maskinongé, Municipalité régionale de comté (MRC)",2021A000224
2021A00032452,2452,census division,"D'Autray, Municipalité régionale de comté (MRC)",2021A000224
2021A00032453,2453,census division,"Pierre-De Saurel, Municipalité régionale de comté (MRC)",2021A000224
2021A00032454,2454,census division,"Les Maskoutains, Municipalité régionale de comté (MRC)",2021A000224
2021A00032455,2455,census division,"Rouville, Municipalité régionale de comté (MRC)",2021A000224
2021A00032456,2456,census division,"Le Haut-Richelieu, Municipalité régionale de comté (MRC)",2021A000224
2021A00032457,2457,census division,"La Vallée-du-Richelieu, Municipalité régionale de comté (MRC)",2021A000224
2021A00032458,2458,census division,"Longueuil, Territoire équivalent (TÉ)",2021A000224
2021A00032459,2459,census division,"Marguerite-D'Youville, Municipalité régionale de comté (MRC)",2021A000224
2021A00032460,2460,census division,"L'Assomption, Municipalité régionale de comté (MRC)",2021A000224
2021A00032461,2461,census division,"Joliette, Municipalité régionale de comté (MRC)",2021A000224
2021A00032462,2462,census division,"Matawinie, Municipalité régionale de comté (MRC)",2021A000224
2021A00032463,2463,census division,"Montcalm, Municipalité régionale de comté (MRC)",2021A000224
2021A00032464,2464,census division,"Les Moulins, Municipalité régionale de comté (MRC)",2021A000224
2021A00032465,2465,census division,"Laval, Territoire équivalent (TÉ)",2021A000224
2021A00032466,2466,census division,"Montréal, Territoire équivalent (TÉ)",2021A000224
2021A00032467,2467,census division,"Roussillon, Municipalité régionale de comté (MRC)",2021A000224
2021A00032468,2468,census division,"Les Jardins-de-Napierville, Municipalité régionale de comté (MRC)",2021A000224
2021A00032469,2469,census division,"Le Haut-Saint-Laurent, Municipalité régionale de comté (MRC)",2021A000224
2021A00032470,2470,census division,"Beauharnois-Salaberry, Municipalité régionale de comté (MRC)",2021A000224
2021A00032471,2471,census division,"Vaudreuil-Soulanges, Municipalité régionale de comté (MRC)",2021A000224
2021A00032472,2472,census division,"Deux-Montagnes, Municipalité régionale de comté (MRC)",2021A000224
2021A00032473,2473,census division,"Thérèse-De Blainville, Municipalité régionale de comté (MRC)",2021A000224
2021A00032474,2474,census division,"Mirabel, Territoire équivalent (TÉ)",2021A000224
2021A00032475,2475,census division,"La Rivière-du-Nord, Municipalité régionale de comté (MRC)",2021A000224
2021A00032476,2476,census division,"Argenteuil, Municipalité régionale de comté (MRC)",2021A000224
2021A00032477,2477,census division,"Les Pays-d'en-Haut, Municipalité régionale de comté (MRC)",2021A000224
2021A00032478,2478,census division,"Les Laurentides, Municipalité régionale de comté (MRC)",2021A000224
2021A00032479,2479,census division,"Antoine-Labelle, Municipalité régionale de comté (MRC)",2021A000224
2021A00032480,2480,census division,"Papineau, Municipalité régionale de comté (MRC)",2021A000224
2021A00032481,2481,census division,"Gatineau, Territoire équivalent (TÉ)",2021A000224
2021A00032482,2482,census division,"Les Collines-de-l'Outaouais, Municipalité régionale de comté (MRC)",2021A000224
2021A00032483,2483,census division,"La Vallée-de-la-Gatineau, Municipalité régionale de comté (MRC)",2021A000224
2021A00032484,2484,census division,"Pontiac, Municipalité régionale de comté (MRC)",2021A000224
2021A00032485,2485,census division,"Témiscamingue, Municipalité régionale de comté (MRC)",2021A000224
2021A00032486,2486,census division,"Rouyn-Noranda, Territoire équivalent (TÉ)",2021A000224
2021A00032487,2487,census division,"Abitibi-Ouest, Municipalité régionale de comté (MRC)",2021A000224
2021A00032488,2488,census division,"Abitibi, Municipalité régionale de comté (MRC)",2021A000224
2021A00032489,2489,census division,"La Vallée-de-l'Or, Municipalité régionale de comté (MRC)",2021A000224
2021A00032490,2490,census division,"La Tuque, Territoire équivalent (TÉ)",2021A000224
2021A00032491,2491,census division,"Le Domaine-du-Roy, Municipalité régionale de comté (MRC)",2021A000224
2021A00032492,2492,census division,"Maria-Chapdelaine, Municipalité régionale de comté (MRC)",2021A000224
2021A00032493,2493,census division,"Lac-Saint-Jean-Est, Municipalité régionale de comté (MRC)",2021A000224
2021A00032494,2494,census division,"Le Saguenay-et-son-Fjord, Census division (CDR)",2021A000224
2021A00032495,2495,census division,"La Haute-Côte-Nord, Municipalité régionale de comté (MRC)",2021A000224
2021A00032496,2496,census division,"Manicouagan, Municipalité régionale de comté (MRC)",2021A000224
2021A00032497,2497,census division,"Sept-Rivières--Caniapiscau, Census division (CDR)",2021A000224
2021A00032498,2498,census division,"Minganie--Le Golfe-du-Saint-Laurent, Census division (CDR)",2021A000224
2021A00032499,2499,census division,"Nord-du-Québec, Census division (CDR)",2021A000224
2021A00033501,3501,census division,"Stormont, Dundas and Glengarry, United counties (UC)",2021A000235
2021A00033502,3502,census division,"Prescott and Russell, United counties (UC)",2021A000235
2021A00033506,3506,census division,"Ottawa, Census division (CDR)",2021A000235
2021A00033507,3507,census division,"Leeds and Grenville, United counties (UC)",2021A000235
2021A00033509,3509,census division,"Lanark, County (CTY)",2021A000235
2021A00033510,3510,census division,"Frontenac, County (CTY)",2021A000235
2021A00033511,3511,census division,"Lennox and Addington, County (CTY)",2021A000235
2021A00033512,3512,census division,"Hastings, County (CTY)",2021A000235
2021A00033513,3513,census division,"Prince Edward, Census division (CDR)",2021A000235
2021A00033514,3514,census division,"Northumberland, County (CTY)",2021A000235
2021A00033515,3515,census division,"Peterborough, County (CTY)",2021A000235
2021A00033516,3516,census division,"Kawartha Lakes, Census division (CDR)",2021A000235
2021A00033518,3518,census division,"Durham, Regional municipality (RM)",2021A000235
2021A00033519,3519,census division,"York, Regional municipality (RM)",2021A000235
2021A00033520,3520,census division,"Toronto, Census division (CDR)",2021A000235
2021A00033521,3521,census division,"Peel, Regional municipality (RM)",2021A000235
2021A00033522,3522,census division,"Dufferin, County (CTY)",2021A000235
2021A00033523,3523,census division,"Wellington, County (CTY)",2021A000235
2021A00033524,3524,census division,"Halton, Regional municipality (RM)",2021A000235
2021A00033525,3525,census division,"Hamilton, Census division (CDR)",2021A000235
2021A00033526,3526,census division,"Niagara, Regional municipality (RM)",2021A000235
2021A00033528,3528,census division,"Haldimand-Norfolk, Census division (CDR)",2021A000235
2021A00033529,3529,census division,"Brant, Census division (CDR)",2021A000235
2021A00033530,3530,census division,"Waterloo, Regional municipality (RM)",2021A000235
2021A00033531,3531,census division,"Perth, County (CTY)",2021A000235
2021A00033532,3532,census division,"Oxford, County (CTY)",2021A000235
2021A00033534,3534,census division,"Elgin, County (CTY)",2021A000235
2021A00033536,3536,census division,"Chatham-Kent, Census division (CDR)",2021A000235
2021A00033537,3537,census division,"Essex, County (CTY)",2021A000235
2021A00033538,3538,census division,"Lambton, County (CTY)",2021A000235
2021A00033539,3539,census division,"Middlesex, County (CTY)",2021A000235
2021A00033540,3540,census division,"Huron, County (CTY)",2021A000235
2021A00033541,3541,census division,"Bruce, County (CTY)",2021A000235
2021A00033542,3542,census division,"Grey, County (CTY)",2021A000235
2021A00033543,3543,census division,"Simcoe, County (CTY)",2021A000235
2021A00033544,3544,census division,"Muskoka, District municipality (DM)",2021A000235
2021A00033546,3546,census division,"Haliburton, County (CTY)",2021A000235
2021A00033547,3547,census division,"Renfrew, County (CTY)",2021A000235
2021A00033548,3548,census division,"Nipissing, District (DIS)",2021A000235
2021A00033549,3549,census division,"Parry Sound, District (DIS)",2021A000235
2021A00033551,3551,census division,"Manitoulin, District (DIS)",2021A000235
2021A00033552,3552,census division,"Sudbury, District (DIS)",2021A000235
2021A00033553,3553,census division,"Greater Sudbury / Grand Sudbury, Census division (CDR)",2021A000235
2021A00033554,3554,census division,"Timiskaming, District (DIS)",2021A000235
2021A00033556,3556,census division,"Cochrane, District (DIS)",2021A000235
2021A00033557,3557,census division,"Algoma, District (DIS)",2021A000235
2021A00033558,3558,census division,"Thunder Bay, District (DIS)",2021A000235
2021A00033559,3559,census division,"Rainy River, District (DIS)",2021A000235
2021A00033560,3560,census division,"Kenora, District (DIS)",2021A000235
2021A00034601,4601,census division,"Division No.  1, Census division (CDR)",2021A000246
2021A00034602,4602,census division,"Division No.  2, Census division (CDR)",2021A000246
2021A00034603,4603,census division,"Division No.  3, Census division (CDR)",2021A000246
2021A00034604,4604,census division,"Division No.  4, Census division (CDR)",2021A000246
2021A00034605,4605,census division,"Division No.  5, Census division (CDR)",2021A000246
2021A00034606,4606,census division,"Division No.  6, Census division (CDR)",2021A000246
2021A00034607,4607,census division,"Division No.  7, Census division (CDR)",2021A000246
2021A00034608,4608,census division,"Division No.  8, Census division (CDR)",2021A000246
2021A00034609,4609,census division,"Division No.  9, Census division (CDR)",2021A000246
2021A00034610,4610,census division,"Division No. 10, Census division (CDR)",2021A000246
2021A00034611,4611,census division,"Division No. 11, Census division (CDR)",2021A000246
2021A00034612,4612,census division,"Division No. 12, Census division (CDR)",2021A000246
2021A00034613,4613,census division,"Division No. 13, Census division (CDR)",2021A000246
2021A00034614,4614,census division,"Division No. 14, Census division (CDR)",2021A000246
2021A00034615,4615,census division,"Division No. 15, Census division (CDR)",2021A000246
2021A00034616,4616,census division,"Division No. 16, Census division (CDR)",2021A000246
2021A00034617,4617,census division,"Division No. 17, Census division (CDR)",2021A000246
2021A00034618,4618,census division,"Division No. 18, Census division (CDR)",2021A000246
2021A00034619,4619,census division,"Division No. 19, Census division (CDR)",2021A000246
2021A00034620,4620,census division,"Division No. 20, Census division (CDR)",2021A000246
2021A00034621,4621,census division,"Division No. 21, Census division (CDR)",2021A000246
2021A00034622,4622,census division,"Division No. 22, Census division (CDR)",2021A000246
2021A00034623,4623,census division,"Division No. 23, Census division (CDR)",2021A000246
2021A00034701,4701,census division,"Division No.  1, Census division (CDR)",2021A000247
2021A00034702,4702,census division,"Division No.  2, Census division (CDR)",2021A000247
2021A00034703,4703,census division,"Division No.  3, Census division (CDR)",2021A000247
2021A00034704,4704,census division,"Division No.  4, Census division (CDR)",2021A000247
2021A00034705,4705,census division,"Division No.  5, Census division (CDR)",2021A000247
2021A00034706,4706,census division,"Division No.  6, Census division (CDR)",2021A000247
2021A00034707,4707,census division,"Division No.  7, Census division (CDR)",2021A000247
2021A00034708,4708,census division,"Division No.  8, Census division (CDR)",2021A000247
2021A00034709,4709,census division,"Division No.  9, Census division (CDR)",2021A000247
2021A00034710,4710,census division,"Division No. 10, Census division (CDR)",2021A000247
2021A00034711,4711,census division,"Division No. 11, Census division (CDR)",2021A000247
2021A00034712,4712,census division,"Division No. 12, Census division (CDR)",2021A000247
2021A00034713,4713,census division,"Division No. 13, Census division (CDR)",2021A000247
2021A00034714,4714,census division,"Division No. 14, Census division (CDR)",2021A000247
2021A00034715,4715,census division,"Division No. 15, Census division (CDR)",2021A000247
2021A00034716,4716,census division,"Division No. 16, Census division (CDR)",2021A000247
2021A00034717,4717,census division,"Division No. 17, Census division (CDR)",2021A000247
2021A00034718,4718,census division,"Division No. 18, Census division (CDR)",2021A000247
2021A00034801,4801,census division,"Division No.  1, Census division (CDR)",2021A000248
2021A00034802,4802,census division,"Division No.  2, Census division (CDR)",2021A000248
2021A00034803,4803,census division,"Division No.  3, Census division (CDR)",2021A000248
2021A00034804,4804,census division,"Division No.  4, Census division (CDR)",2021A000248
2021A00034805,4805,census division,"Division No.  5, Census division (CDR)",2021A000248
2021A00034806,4806,census division,"Division No.  6, Census division (CDR)",2021A000248
2021A00034807,4807,census division,"Division No.  7, Census division (CDR)",2021A000248
2021A00034808,4808,census division,"Division No.  8, Census division (CDR)",2021A000248
2021A00034809,4809,census division,"Division No.  9, Census division (CDR)",2021A000248
2021A00034810,4810,census division,"Division No. 10, Census division (CDR)",2021A000248
2021A00034811,4811,census division,"Division No. 11, Census division (CDR)",2021A000248
2021A00034812,4812,census division,"Division No. 12, Census division (CDR)",2021A000248
2021A00034813,4813,census division,"Division No. 13, Census division (CDR)",2021A000248
2021A00034814,4814,census division,"Division No. 14, Census division (CDR)",2021A000248
2021A00034815,4815,census division,"Division No. 15, Census division (CDR)",2021A000248
2021A00034816,4816,census division,"Division No. 16, Census division (CDR)",2021A000248
2021A00034817,4817,census division,"Division No. 17, Census division (CDR)",2021A000248
2021A00034818,4818,census division,"Division No. 18, Census division (CDR)",2021A000248
2021A00034819,4819,census division,"Division No. 19, Census division (CDR)",2021A000248
2021A00035901,5901,census division,"East Kootenay, Regional district (RD)",2021A000259
2021A00035903,5903,census division,"Central Kootenay, Regional district (RD)",2021A000259
2021A00035905,5905,census division,"Kootenay Boundary, Regional district (RD)",2021A000259
2021A00035907,5907,census division,"Okanagan-Similkameen, Regional district (RD)",2021A000259
2021A00035909,5909,census division,"Fraser Valley, Regional district (RD)",2021A000259
2021A00035915,5915,census division,"Greater Vancouver, Regional district (RD)",2021A000259
2021A00035917,5917,census division,"Capital, Regional district (RD)",2021A000259
2021A00035919,5919,census division,"Cowichan Valley, Regional district (RD)",2021A000259
2021A00035921,5921,census division,"Nanaimo, Regional district (RD)",2021A000259
2021A00035923,5923,census division,"Alberni-Clayoquot, Regional district (RD)",2021A000259
2021A00035924,5924,census division,"Strathcona, Regional district (RD)",2021A000259
2021A00035926,5926,census division,"Comox Valley, Regional district (RD)",2021A000259
2021A00035927,5927,census division,"Powell River, Regional district (RD)",2021A000259
2021A00035929,5929,census division,"Sunshine Coast, Regional district (RD)",2021A000259
2021A00035931,5931,census division,"Squamish-Lillooet, Regional district (RD)",2021A000259
2021A00035933,5933,census division,"Thompson-Nicola, Regional district (RD)",2021A000259
2021A00035935,5935,census division,"Central Okanagan, Regional district (RD)",2021A000259
2021A00035937,5937,census division,"North Okanagan, Regional district (RD)",2021A000259
2021A00035939,5939,census division,"Columbia-Shuswap, Regional district (RD)",2021A000259
2021A00035941,5941,census division,"Cariboo, Regional district (RD)",2021A000259
2021A00035943,5943,census division,"Mount Waddington, Regional district (RD)",2021A000259
2021A00035945,5945,census division,"Central Coast, Regional district (RD)",2021A000259
2021A00035947,5947,census division,"Skeena-Queen Charlotte, Regional district (RD)",2021A000259
2021A00035949,5949,census division,"Kitimat-Stikine, Regional district (RD)",2021A000259
2021A00035951,5951,census division,"Bulkley-Nechako, Regional district (RD)",2021A000259
2021A00035953,5953,census division,"Fraser-Fort George, Regional district (RD)",2021A000259
2021A00035955,5955,census division,"Peace River, Regional district (RD)",2021A000259
2021A00035957,5957,census division,"Stikine, Region (REG)",2021A000259
2021A00035959,5959,census division,"Northern Rockies, Regional district (RD)",2021A000259
2021A00036001,6001,census division,"Yukon, Territory (TER)",2021A000260
2021A00036101,6101,census division,"Region 1, Region (REG)",2021A000261
2021A00036102,6102,census division,"Region 2, Region (REG)",2021A000261
2021A00036103,6103,census division,"Region 3, Region (REG)",2021A000261
2021A00036104,6104,census division,"Region 4, Region (REG)",2021A000261
2021A00036105,6105,census division,"Region 5, Region (REG)",2021A000261
2021A00036106,6106,census division,"Region 6, Region (REG)",2021A000261
2021A00036204,6204,census division,"Qikiqtaaluk, Region (REG)",2021A000262
2021A00036205,6205,census division,"Kivalliq, Region (REG)",2021A000262
2021A00036208,6208,census division,"Kitikmeot, Region (REG)",2021A000262
2021A00051001101,1001101,census subdivision,"Division No.  1, Subd. V, Subdivision of unorganized (SNO)",2021A00031001
2021A00051001105,1001105,census subdivision,"Portugal Cove South, Town (T)",2021A00031001
2021A00051001113,1001113,census subdivision,"Trepassey, Town (T)",2021A00031001
2021A00051001120,1001120,census subdivision,"St. Shott's, Town (T)",2021A00031001
2021A00051001124,1001124,census subdivision,"Division No.  1, Subd. U, Subdivision of unorganized (SNO)",2021A00031001
2021A00051001126,1001126,census subdivision,"Cape Broyle, Town (T)",2021A00031001
2021A00051001131,1001131,census subdivision,"Renews-Cappahayden, Town (T)",2021A00031001
2021A00051001136,1001136,census subdivision,"Fermeuse, Town (T)",2021A00031001
2021A00051001140,1001140,census subdivision,"Port Kirwan, Town (T)",2021A00031001
2021A00051001144,1001144,census subdivision,"Aquaforte, Town (T)",2021A00031001
2021A00051001149,1001149,census subdivision,"Ferryland, Town (T)",2021A00031001
2021A00051001155,1001155,census subdivision,"Division No.  1, Subd. W, Subdivision of unorganized (SNO)",2021A00031001
2021A00051001169,1001169,census subdivision,"St. Vincent's-St. Stephen's-Peter's River, Town (T)",2021A00031001
2021A00051001174,1001174,census subdivision,"Gaskiers-Point La Haye, Town (T)",2021A00031001
2021A00051001178,1001178,census subdivision,"St. Mary's, Town (T)",2021A00031001
2021A00051001181,1001181,census subdivision,"Riverhead, Town (T)",2021A00031001
2021A00051001186,1001186,census subdivision,"Admirals Beach, Town (T)",2021A00031001
2021A00051001192,1001192,census subdivision,"St. Joseph's, Town (T)",2021A00031001
2021A00051001197,1001197,census subdivision,"Mount Carmel-Mitchells Brook-St. Catherine's, Town (T)",2021A00031001
2021A00051001203,1001203,census subdivision,"Division No.  1, Subd. X, Subdivision of unorganized (SNO)",2021A00031001
2021A00051001207,1001207,census subdivision,"Colinet, Town (T)",2021A00031001
2021A00051001214,1001214,census subdivision,"Division No.  1, Subd. C, Subdivision of unorganized (SNO)",2021A00031001
2021A00051001219,1001219,census subdivision,"Branch, Town (T)",2021A00031001
2021A00051001225,1001225,census subdivision,"Point Lance, Town (T)",2021A00031001
2021A00051001228,1001228,census subdivision,"St. Bride's, Town (T)",2021A00031001
2021A00051001234,1001234,census subdivision,"Division No.  1, Subd. B, Subdivision of unorganized (SNO)",2021A00031001
2021A00051001240,1001240,census subdivision,"Placentia, Town (T)",2021A00031001
2021A00051001254,1001254,census subdivision,"Fox Harbour, Town (T)",2021A00031001
2021A00051001259,1001259,census subdivision,"Division No.  1, Subd. A, Subdivision of unorganized (SNO)",2021A00031001
2021A00051001263,1001263,census subdivision,"Long Harbour-Mount Arlington Heights, Town (T)",2021A00031001
2021A00051001267,1001267,census subdivision,"Southern Harbour, Town (T)",2021A00031001
2021A00051001270,1001270,census subdivision,"Arnold's Cove, Town (T)",2021A00031001
2021A00051001274,1001274,census subdivision,"Come By Chance, Town (T)",2021A00031001
2021A00051001277,1001277,census subdivision,"Sunnyside, Town (T)",2021A00031001
2021A00051001281,1001281,census subdivision,"Chance Cove, Town (T)",2021A00031001
2021A00051001285,1001285,census subdivision,"Norman's Cove-Long Cove, Town (T)",2021A00031001
2021A00051001289,1001289,census subdivision,"Chapel Arm, Town (T)",2021A00031001
2021A00051001293,1001293,census subdivision,"Division No.  1, Subd. Y, Subdivision of unorganized (SNO)",2021A00031001
2021A00051001298,1001298,census subdivision,"Whitbourne, Town (T)",2021A00031001
2021A00051001304,1001304,census subdivision,"Division No.  1, Subd. E, Subdivision of unorganized (SNO)",2021A00031001
2021A00051001308,1001308,census subdivision,"Whiteway, Town (T)",2021A00031001
2021A00051001312,1001312,census subdivision,"Heart's Delight-Islington, Town (T)",2021A00031001
2021A00051001316,1001316,census subdivision,"Heart's Desire, Town (T)",2021A00031001
2021A00051001321,1001321,census subdivision,"Division No.  1, Subd. F, Subdivision of unorganized (SNO)",2021A00031001
2021A00051001325,1001325,census subdivision,"Heart's Content, Town (T)",2021A00031001
2021A00051001328,1001328,census subdivision,"New Perlican, Town (T)",2021A00031001
2021A00051001332,1001332,census subdivision,"Winterton, Town (T)",2021A00031001
2021A00051001335,1001335,census subdivision,"Hant's Harbour, Town (T)",2021A00031001
2021A00051001339,1001339,census subdivision,"Division No.  1, Subd. G, Subdivision of unorganized (SNO)",2021A00031001
2021A00051001343,1001343,census subdivision,"Old Perlican, Town (T)",2021A00031001
2021A00051001347,1001347,census subdivision,"Bay de Verde, Town (T)",2021A00031001
2021A00051001352,1001352,census subdivision,"Small Point-Adam's Cove-Blackhead-Broad Cove, Town (T)",2021A00031001
2021A00051001357,1001357,census subdivision,"Division No.  1, Subd. H, Subdivision of unorganized (SNO)",2021A00031001
2021A00051001361,1001361,census subdivision,"Salmon Cove, Town (T)",2021A00031001
