CHARACTERISTIC_ID,CHARACTERISTIC_NAME,Depth,Keep or Not Keep,Category,Flag,NEW_CHARACTERISTIC_NAME
62,      Living common law - Never married,6,Keep,marital_status_for_the_total_population_aged_15_years_and_over,Category,Living common law - Never married
63,      Living common law - Separated,6,Keep,marital_status_for_the_total_population_aged_15_years_and_over,Category,Living common law - Separated
64,      Living common law - Divorced,6,Keep,marital_status_for_the_total_population_aged_15_years_and_over,Category,Living common law - Divorced
65,      Living common law - Widowed,6,Keep,marital_status_for_the_total_population_aged_15_years_and_over,Category,Living common law - Widowed
66,  Not married and not living common-law,2,No Keep,marital_status_for_the_total_population_aged_15_years_and_over,Category,Not married and not living common-law
67,    Not married and not living common law - Never married,4,Keep,marital_status_for_the_total_population_aged_15_years_and_over,Category,Not married and not living common law - Never married
68,    Not married and not living common law - Separated,4,Keep,marital_status_for_the_total_population_aged_15_years_and_over,Category,Not married and not living common law - Separated
69,    Not married and not living common law - Divorced,4,Keep,marital_status_for_the_total_population_aged_15_years_and_over,Category,Not married and not living common law - Divorced
70,    Not married and not living common law - Widowed,4,Keep,marital_status_for_the_total_population_aged_15_years_and_over,Category,Not married and not living common law - Widowed
71,Total - Census families in private households by family size - 100% data,0,Keep,census_families_in_private_households_by_family_size,Total,Total - Census families in private households by family size - 100% data
72,  2 persons,2,Keep,census_families_in_private_households_by_family_size,Category,2 persons
73,  3 persons,2,Keep,census_families_in_private_households_by_family_size,Category,3 persons
74,  4 persons,2,Keep,census_families_in_private_households_by_family_size,Category,4 persons
75,  5 or more persons,2,Keep,census_families_in_private_households_by_family_size,Category,5 or more persons
76,Average size of census families,0,Keep,summary,Summary,Average size of census families
77,Average number of children in census families with children,0,Keep,summary,Summary,Average number of children in census families with children
78,Total number of census families in private households - 100% data,0,Keep,total_number_of_census_families_in_privatehousehold,Total,Total number of census families in private households - 100% data
79,  Total couple families,2,No Keep,total_number_of_census_families_in_privatehousehold,Category,Total couple families
80,    Married couples,4,No Keep,total_number_of_census_families_in_privatehousehold,Category,Married couples
81,      With children,6,Keep,total_number_of_census_families_in_privatehousehold,Category,Married with children
82,      Without children,6,Keep,total_number_of_census_families_in_privatehousehold,Category,Married without children
83,    Common-law couples,4,No Keep,total_number_of_census_families_in_privatehousehold,Category,Common-law couples
84,      With children,6,Keep,total_number_of_census_families_in_privatehousehold,Category,Common-law with children
85,      Without children,6,Keep,total_number_of_census_families_in_privatehousehold,Category,Common-law without children
86,  Total one-parent families,2,No Keep,total_number_of_census_families_in_privatehousehold,Category,Total one-parent families
87,    in which the parent is a woman+,4,Keep,total_number_of_census_families_in_privatehousehold,Category,in which the parent is a woman+
88,    in which the parent is a man+,4,Keep,total_number_of_census_families_in_privatehousehold,Category,in which the parent is a man+
89,Total - Persons in private households - 100% data,0,Keep,persons_in_private_households,Total,Total - Persons in private households - 100% data
90,  Total - Persons in census families,2,No Keep,persons_in_private_households,Category,Total - Persons in census families
91,    Married spouses or common-law partners,4,Keep,persons_in_private_households,Category,Married spouses or common-law partners
92,    Parents in one-parent families,4,Keep,persons_in_private_households,Category,Parents in one-parent families
93,    Children,4,No Keep,persons_in_private_households,Category,Children
94,      In a two-parent family,6,Keep,persons_in_private_households,Category,In a two-parent family
95,      In a one-parent family,6,Keep,persons_in_private_households,Category,In a one-parent family
96,  Total - Persons not in census families in private households - 100% data,2,No Keep,persons_in_private_households,Category,Total - Persons not in census families in private households - 100% data
97,    Living alone,4,Keep,persons_in_private_households,Category,Living alone
98,    Living with other relatives,4,Keep,persons_in_private_households,Category,Living with other relatives
99,    Living with non-relatives only,4,Keep,persons_in_private_households,Category,Living with non-relatives only
100,Total - Household type - 100% data,0,Keep,household_type,Total,Total - Household type - 100% data
101,  One-census-family households without additional persons,2,No Keep,household_type,Category,One-census-family households without additional persons
102,    Couple-family households,4,No Keep,household_type,Category,Couple-family households
103,      With children,6,Keep,household_type,Category,With children
104,      Without children,6,Keep,household_type,Category,Without children
105,    One-parent-family households,4,Keep,household_type,Category,One-parent-family households
106,  Multigenerational households,2,Keep,household_type,Category,Multigenerational households
107,  Multiple-census-family households,2,Keep,household_type,Category,Multiple-census-family households
108,  One-census-family households with additional persons,2,Keep,household_type,Category,One-census-family households with additional persons
109,  Two-or-more-person non-census-family households ,2,Keep,household_type,Category,Two-or-more-person non-census-family households
110,  One-person households,2,Keep,household_type,Category,One-person households
111,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,0,Keep,summary,Summary,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data
112,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,2,No Keep,summary,Summary,Number of total income recipients aged 15 years and over in private households in 2020 - 100% data
113,    Median total income in 2020 among recipients ($),4,Keep,summary,Summary,Median total income in 2020 among recipients ($)
114,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,2,No Keep,summary,Summary,Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data
115,    Median after-tax income in 2020 among recipients ($),4,Keep,summary,Summary,Median after-tax income in 2020 among recipients ($)
116,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,2,No Keep,summary,Summary,Number of market income recipients aged 15 years and over in private households in 2020 - 100% data
117,    Median market income in 2020 among recipients ($),4,Keep,summary,Summary,Median market income in 2020 among recipients ($)
118,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,2,No Keep,summary,Summary,Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data
119,    Median employment income in 2020 among recipients ($),4,Keep,summary,Summary,Median employment income in 2020 among recipients ($)
120,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,2,No Keep,summary,Summary,Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data
121,    Median government transfers in 2020 among recipients ($),4,Keep,summary,Summary,Median government transfers in 2020 among recipients ($)
122,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,2,No Keep,summary,Summary,Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data
123,    Median employment insurance benefits in 2020 among recipients ($),4,Keep,summary,Summary,Median employment insurance benefits in 2020 among recipients ($)
124,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,2,No Keep,summary,Summary,Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data
125,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),4,Keep,summary,Summary,Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)
126,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,0,Keep,remove,Category,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data
127,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,2,No Keep,remove,Category,Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data
128,    Average total income in 2020 among recipients ($),4,Keep,remove,Category,Average total income in 2020 among recipients ($)
129,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,2,No Keep,remove,Category,Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data
130,    Average after-tax income in 2020 among recipients ($),4,Keep,remove,Category,Average after-tax income in 2020 among recipients ($)
131,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,2,No Keep,remove,Category,Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data
132,    Average market income in 2020 among recipients ($),4,Keep,remove,Category,Average market income in 2020 among recipients ($)
133,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,2,No Keep,remove,Category,Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data
134,    Average employment income in 2020 among recipients ($),4,Keep,remove,Category,Average employment income in 2020 among recipients ($)
135,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,2,No Keep,remove,Category,Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data
136,    Average government transfers in 2020 among recipients ($),4,Keep,remove,Category,Average government transfers in 2020 among recipients ($)
137,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,2,No Keep,remove,Category,Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data
138,    Average employment insurance benefits in 2020 among recipients ($),4,Keep,remove,Category,Average employment insurance benefits in 2020 among recipients ($)
139,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,2,No Keep,remove,Category,Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data
140,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),4,Keep,remove,Category,Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)
141,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,0,Keep,remove,Category,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data
142,  Market income (%),2,No Keep,remove,Category,Market income (%)
143,    Employment income (%),4,Keep,remove,Category,Employment income (%)
144,  Government transfers (%),2,No Keep,remove,Category,Government transfers (%)
145,    Employment insurance benefits (%),4,Keep,remove,Category,Employment insurance benefits (%)
146,    COVID-19 - Government income support and benefits (%),4,No Keep,remove,Category,COVID-19 - Government income support and benefits (%)
147,      COVID-19 - Emergency and recovery benefits (%),6,Keep,remove,Category,COVID-19 - Emergency and recovery benefits (%)
148,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,0,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Total,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data
149,  Without total income,2,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,Without total income
150,  With total income,2,No Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,With total income
151,"    Under $10,000 (including loss)",4,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"Under $10,000 (including loss)"
152,"    $10,000 to $19,999",4,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$10,000 to $19,999"
153,"    $20,000 to $29,999",4,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$20,000 to $29,999"
154,"    $30,000 to $39,999",4,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$30,000 to $39,999"
155,"    $40,000 to $49,999",4,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$40,000 to $49,999"
156,"    $50,000 to $59,999",4,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$50,000 to $59,999"
157,"    $60,000 to $69,999",4,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$60,000 to $69,999"
158,"    $70,000 to $79,999",4,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$70,000 to $79,999"
159,"    $80,000 to $89,999",4,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$80,000 to $89,999"
160,"    $90,000 to $99,999",4,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$90,000 to $99,999"
161,"    $100,000 and over",4,No Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$100,000 and over"
162,"      $100,000 to $149,999",6,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$100,000 to $149,999"
163,"      $150,000 and over",6,Keep,total_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$150,000 and over"
164,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,0,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Total,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data
165,  Without after-tax income,2,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,Without after-tax income
166,  With after-tax income,2,No Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,With after-tax income
167,"    Under $10,000 (including loss)",4,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"Under $10,000 (including loss)"
168,"    $10,000 to $19,999",4,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"$10,000 to $19,999"
169,"    $20,000 to $29,999",4,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"$20,000 to $29,999"
170,"    $30,000 to $39,999",4,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"$30,000 to $39,999"
171,"    $40,000 to $49,999",4,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"$40,000 to $49,999"
172,"    $50,000 to $59,999",4,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"$50,000 to $59,999"
173,"    $60,000 to $69,999",4,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"$60,000 to $69,999"
174,"    $70,000 to $79,999",4,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"$70,000 to $79,999"
175,"    $80,000 to $89,999",4,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"$80,000 to $89,999"
176,"    $90,000 to $99,999",4,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"$90,000 to $99,999"
177,"    $100,000 and over",4,No Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"$100,000 and over"
178,"      $100,000 to $124,999",6,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"$100,000 to $124,999"
179,"      $125,000 and over",6,Keep,after-tax_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households_,Category,"$125,000 and over"
180,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data,0,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Total,Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data
181,  Without employment income,2,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,Without employment income
182,  With employment income,2,No Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,With employment income
183,"    Under $5,000 (including loss)",4,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"Under $5,000 (including loss)"
184,"    $5,000 to $9,999",4,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$5,000 to $9,999"
185,"    $10,000 to $19,999",4,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$10,000 to $19,999"
186,"    $20,000 to $29,999",4,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$20,000 to $29,999"
187,"    $30,000 to $39,999",4,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$30,000 to $39,999"
188,"    $40,000 to $49,999",4,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$40,000 to $49,999"
189,"    $50,000 to $59,999",4,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$50,000 to $59,999"
190,"    $60,000 to $69,999",4,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$60,000 to $69,999"
191,"    $70,000 to $79,999",4,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$70,000 to $79,999"
192,"    $80,000 to $89,999",4,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$80,000 to $89,999"
193,"    $90,000 to $99,999",4,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$90,000 to $99,999"
194,"    $100,000 and over",4,No Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$100,000 and over"
195,"      $100,000 to $124,999",6,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$100,000 to $124,999"
196,"      $125,000 and over",6,Keep,employment_income_groups_in_2020_for_the_population_aged_15_years_and_over_in_private_households,Category,"$125,000 and over"
197,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data,0,Keep,summary,summary,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data
198,  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data,2,No Keep,summary,summary,Number of total income recipients aged 15 years and over in private households in 2019 - 100% data
199,    Median total income in 2019 among recipients ($),4,Keep,summary,summary,Median total income in 2019 among recipients ($)
200,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data,2,No Keep,summary,summary,Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data
201,    Median after-tax income in 2019 among recipients ($),4,Keep,summary,summary,Median after-tax income in 2019 among recipients ($)
202,  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data,2,No Keep,summary,summary,Number of market income recipients aged 15 years and over in private households in 2019 - 100% data
203,    Median market income in 2019 among recipients ($),4,Keep,summary,summary,Median market income in 2019 among recipients ($)
204,  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data,2,No Keep,summary,summary,Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data
205,    Median employment income in 2019 among recipients ($),4,Keep,summary,summary,Median employment income in 2019 among recipients ($)
206,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data,2,No Keep,summary,summary,Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data
207,    Median government transfers in 2019 among recipients ($),4,Keep,summary,summary,Median government transfers in 2019 among recipients ($)
208,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data,2,No Keep,summary,summary,Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 -100% data
209,    Median employment insurance benefits in 2019 among recipients ($),4,Keep,summary,summary,Median employment insurance benefits in 2019 among recipients ($)
210,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data,0,Keep,remove,Category,Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data
211,  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data,2,No Keep,remove,Category,Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data
212,    Average total income in 2019 among recipients ($),4,Keep,remove,Category,Average total income in 2019 among recipients ($)
213,  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data,2,No Keep,remove,Category,Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data
214,    Average after-tax income in 2019 among recipients ($),4,Keep,remove,Category,Average after-tax income in 2019 among recipients ($)
215,  Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data,2,No Keep,remove,Category,Number of market income recipients aged 15 years and over in private households in 2019 - 25% sample data
216,    Average market income in 2019 among recipients ($),4,Keep,remove,Category,Average market income in 2019 among recipients ($)
217,  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data,2,No Keep,remove,Category,Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data
218,    Average employment income in 2019 among recipients ($),4,Keep,remove,Category,Average employment income in 2019 among recipients ($)
219,  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data,2,No Keep,remove,Category,Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data
220,    Average government transfers in 2019 among recipients ($),4,Keep,remove,Category,Average government transfers in 2019 among recipients ($)
221,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data,2,No Keep,remove,Category,Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data
222,    Average employment insurance benefits in 2019 among recipients ($),4,Keep,remove,Category,Average employment insurance benefits in 2019 among recipients ($)
223,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data,0,Keep,remove,Category,Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data
224,  Market income (%),2,No Keep,remove,Category,Market income (%)
225,    Employment income (%),4,Keep,remove,Category,Employment income (%)
226,  Government transfers (%),2,No Keep,remove,Category,Government transfers (%)
227,    Employment insurance benefits (%),4,Keep,remove,Category,Employment insurance benefits (%)
228,Total - Income statistics for private households - 100% data,0,Keep,summary,Summary,Total - Income statistics for private households - 100% data
229,  Median total income of household in 2020 ($),2,Keep,summary,Summary,Median total income of household in 2020 ($)
230,  Median after-tax income of household in 2020 ($),2,No Keep,summary,Summary,Median after-tax income of household in 2020 ($)
231,    Total - Income statistics for one-person private households - 100% data,4,No Keep,summary,Summary,Total - Income statistics for one-person private households - 100% data
232,      Median total income of one-person households in 2020 ($),6,Keep,summary,Summary,Median total income of one-person households in 2020 ($)
233,      Median after-tax income of one-person households in 2020 ($),6,Keep,summary,Summary,Median after-tax income of one-person households in 2020 ($)
234,    Total - Income statistics for two-or-more-persons private households - 100% data,4,No Keep,summary,Summary,Total - Income statistics for two-or-more-persons private households - 100% data
235,      Median total income of two-or-more-person households in 2020 ($),6,Keep,summary,Summary,Median total income of two-or-more-person households in 2020 ($)
236,      Median after-tax income of two-or-more-person households in 2020 ($),6,Keep,summary,Summary,Median after-tax income of two-or-more-person households in 2020 ($)
237,Total - Income statistics for private households - 25% sample data,0,Keep,remove,Category,Total - Income statistics for private households - 25% sample data
238,  Average total income of household in 2020 ($),2,Keep,remove,Category,Average total income of household in 2020 ($)
239,  Average after-tax income of household in 2020 ($),2,No Keep,remove,Category,Average after-tax income of household in 2020 ($)
240,    Total - Income statistics for one-person private households - 25% sample data,4,No Keep,remove,Category,Total - Income statistics for one-person private households - 25% sample data
241,      Average total income of one-person households in 2020 ($),6,Keep,remove,Category,Average total income of one-person households in 2020 ($)
242,      Average after-tax income of one-person households in 2020 ($),6,Keep,remove,Category,Average after-tax income of one-person households in 2020 ($)
243,    Total - Income statistics for two-or-more-persons private households - 25% sample data,4,No Keep,remove,Category,Total - Income statistics for two-or-more-persons private households - 25% sample data
244,      Average total income of two-or-more-person households in 2020 ($),6,Keep,remove,Category,Average total income of two-or-more-person households in 2020 ($)
